Order Date,Product Name,Products,Category,Product_Category,Region,Quantity,Sales,Profit
12/31/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,4,"$3,640 ",$349 
11/27/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,7,"$1,197 ",$107 
05/11/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,5,"$5,865 ",$503 
3/16/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,2,$786 ,$203 
09/10/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,1,$509 ,$103 
12/01/2023,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,1,$524 ,$106 
10/09/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,7,"$6,167 ","$1,028 "
1/14/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,7,"$3,059 ",$874 
04/02/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,9,"$5,526 ",$595 
10/22/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,South,8,$672 ,$186 
12/04/2023,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,6,"$7,074 ","$1,358 "
9/27/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,2,$502 ,$137 
12/21/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,7,"$7,462 ","$2,166 "
02/03/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,5,"$4,205 ",$585 
10/10/2023,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,1,$570 ,$139 
10/16/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,1,$441 ,$102 
5/15/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,7,"$7,469 ",$590 
02/11/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,2,"$2,212 ",$146 
12/27/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,5,$740 ,$146 
10/05/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,1,$662 ,$194 
